GP_Index	Coord_X	Coord_Y	Eps_xx	Eps_yy	Eps_zz	Eps_yz	Eps_xz	Eps_xy	Sig_xx	Sig_yy	Sig_zz	Sig_yz	Sig_xz	Sig_xy
47	1.583244e+01	2.323750e+01	3.537756e-03	-2.495889e-03	-3.386036e-04	-8.442103e-05	5.771730e-07	-1.308864e-06	5.609063e+01	7.821473e+00	3.682027e-01	-2.957622e-01	4.423062e-02	-2.630242e+01
48	1.583244e+01	2.306875e+01	3.537756e-03	-2.495889e-03	-3.386036e-04	-8.442103e-05	5.771730e-07	-1.308865e-06	5.609063e+01	7.821472e+00	3.682026e-01	-2.957622e-01	4.423062e-02	-2.630242e+01
49	1.554078e+01	2.329375e+01	3.537756e-03	-2.722179e-03	-3.386143e-04	8.307943e-05	8.438642e-07	-1.609761e-06	4.983077e+01	-2.487057e-01	-3.674248e-01	2.903561e-01	-3.858619e-02	-2.057016e+01
50	1.541579e+01	2.312500e+01	3.537756e-03	-2.722179e-03	-3.386143e-04	8.307943e-05	8.438642e-07	-1.609762e-06	4.983077e+01	-2.487063e-01	-3.674248e-01	2.903561e-01	-3.858619e-02	-2.057016e+01
51	1.541579e+01	2.329375e+01	3.537756e-03	-2.722179e-03	-3.386143e-04	8.307943e-05	8.438642e-07	-1.609761e-06	4.983077e+01	-2.487057e-01	-3.674248e-01	2.903561e-01	-3.858619e-02	-2.057016e+01
52	1.545746e+01	2.306875e+01	3.537756e-03	-2.495887e-03	-3.386084e-04	-8.454239e-05	7.026957e-07	-1.419174e-06	5.609347e+01	7.824319e+00	3.682196e-01	-2.962497e-01	4.473063e-02	-2.630555e+01
53	1.558245e+01	2.323750e+01	3.537756e-03	-2.495887e-03	-3.386084e-04	-8.454239e-05	7.026957e-07	-1.419173e-06	5.609347e+01	7.824320e+00	3.682197e-01	-2.962497e-01	4.473063e-02	-2.630555e+01
54	1.558245e+01	2.306875e+01	3.537756e-03	-2.495887e-03	-3.386084e-04	-8.454239e-05	7.026957e-07	-1.419174e-06	5.609347e+01	7.824319e+00	3.682196e-01	-2.962497e-01	4.473063e-02	-2.630555e+01
55	1.529080e+01	2.329375e+01	3.537756e-03	-2.722156e-03	-3.386215e-04	8.292908e-05	1.003929e-06	-1.766998e-06	4.983537e+01	-2.439302e-01	-3.673386e-01	2.897498e-01	-3.795079e-02	-2.057513e+01
56	1.516581e+01	2.312500e+01	3.537756e-03	-2.722156e-03	-3.386215e-04	8.292908e-05	1.003929e-06	-1.766999e-06	4.983537e+01	-2.439308e-01	-3.673387e-01	2.897498e-01	-3.795079e-02	-2.057513e+01
