# per-element PLATE REACTION FORCES from the RM shell beam model (Timo), eta=0.20
# elem  y2(m) y3(m)  e11 e22 2e12 k11 k22 2k12  N11 N22 N12(N/m) M11 M22 M12(N)
   216  4.470529e+00 -2.499379e-02  7.405326e-04 -2.296853e-04  5.098295e-04 -1.698636e-03  6.434194e-04 -1.867746e-03  9.744100e+05  1.192451e+01  6.898703e+04  4.999469e+01  4.045668e-01 -1.725744e+01
   217  4.544521e+00 -3.794161e-02  7.729843e-04 -2.397498e-04  5.099725e-04 -1.678817e-03  6.336863e-04 -1.570802e-03  1.017139e+06  1.198713e+01  6.901323e+04  6.174599e+01  3.020411e-01 -1.264077e+01
   218  4.617738e+00 -5.436112e-02  8.113668e-04 -2.516539e-04  5.377675e-04 -1.653782e-03  6.228100e-04 -2.802430e-03  1.067677e+06  1.202611e+01  7.274823e+04  7.583041e+01  2.422354e-01 -3.113443e+01
   219  4.682909e+00 -7.483640e-02  8.557184e-04 -2.654091e-04  5.325022e-04 -1.567427e-03  5.902848e-04  2.158481e-03  1.126093e+06  1.198864e+01  7.214975e+04  9.798909e+01  2.566546e-01  4.581780e+01
   220  4.710121e+00  5.503840e-03  7.197158e-04 -2.232323e-04  5.486452e-04 -1.040707e-04  1.934476e-05 -1.231208e-03  9.474798e+05 -3.606536e+00  7.425729e+04  2.057890e+02 -7.635311e-01 -6.472707e+00
   221  1.847157e+00 -6.313187e-01  1.441984e-03 -9.529605e-04  2.044286e-03 -4.166805e-04  2.395289e-04  2.512250e-03  7.342304e+04  3.378079e+00  1.128315e+05 -1.054823e+01 -1.809112e+00  6.523566e+01
   222  1.858817e+00 -5.609299e-01  1.321191e-03 -8.731289e-04  2.158150e-03 -4.166807e-04  2.345224e-04  4.499550e-04  6.727265e+04  3.378079e+00  1.191161e+05 -1.068952e+01 -2.017071e+00  1.168399e+01
   223  1.870478e+00 -4.905412e-01  1.200397e-03 -7.932973e-04  2.048518e-03 -4.166807e-04  2.295158e-04 -5.609459e-04  6.112227e+04  3.378079e+00  1.130651e+05 -1.083080e+01 -2.225030e+00 -1.456610e+01
   224  1.882138e+00 -4.201524e-01  1.079604e-03 -7.134657e-04  2.161995e-03 -4.166805e-04  2.245090e-04 -1.056662e-03  5.497189e+04  3.378079e+00  1.193283e+05 -1.097208e+01 -2.432989e+00 -2.743836e+01
   225  1.893798e+00 -3.497636e-01  9.588103e-04 -6.336341e-04  2.051975e-03 -4.166807e-04  2.195025e-04 -1.299925e-03  4.882151e+04  3.378079e+00  1.132559e+05 -1.111337e+01 -2.640948e+00 -3.375518e+01
   226  1.905459e+00 -2.793749e-01  8.380169e-04 -5.538025e-04  2.165064e-03 -4.166807e-04  2.144959e-04 -1.419462e-03  4.267113e+04  3.378079e+00  1.194977e+05 -1.125465e+01 -2.848908e+00 -3.685922e+01
   227  1.917119e+00 -2.089861e-01  7.172234e-04 -4.739709e-04  2.054657e-03 -4.166807e-04  2.094892e-04 -1.478329e-03  3.652075e+04  3.378079e+00  1.134039e+05 -1.139593e+01 -3.056867e+00 -3.838782e+01
   228  1.928779e+00 -1.385974e-01  5.964300e-04 -3.941393e-04  2.167358e-03 -4.166804e-04  2.044824e-04 -1.507383e-03  3.037037e+04  3.378079e+00  1.196243e+05 -1.153721e+01 -3.264826e+00 -3.914227e+01
   229  1.940440e+00 -6.820862e-02  4.756366e-04 -3.143077e-04  2.056564e-03 -4.166807e-04  1.994760e-04 -1.521666e-03  2.421999e+04  3.378079e+00  1.135091e+05 -1.167850e+01 -3.472785e+00 -3.951315e+01
   230  1.952100e+00  2.180130e-03  3.548431e-04 -2.344761e-04  2.168877e-03 -4.166807e-04  1.944693e-04 -1.528388e-03  1.806961e+04  3.378079e+00  1.197081e+05 -1.181978e+01 -3.680744e+00 -3.968770e+01
   231  1.963760e+00  7.256888e-02  2.340497e-04 -1.546445e-04  2.057695e-03 -4.166805e-04  1.894626e-04 -1.530755e-03  1.191923e+04  3.378079e+00  1.135716e+05 -1.196106e+01 -3.888703e+00 -3.974916e+01
   232  1.975421e+00  1.429576e-01  1.132562e-04 -7.481294e-05  2.169621e-03 -4.166807e-04  1.844561e-04 -1.529667e-03  5.768845e+03  3.378079e+00  1.197492e+05 -1.210235e+01 -4.096662e+00 -3.972092e+01
   233  1.987081e+00  2.133464e-01 -7.537220e-06  5.018667e-06  2.058051e-03 -4.166807e-04  1.794494e-04 -1.524201e-03 -3.815364e+02  3.378079e+00  1.135912e+05 -1.224363e+01 -4.304621e+00 -3.957898e+01
   234  1.998741e+00  2.837352e-01 -1.283307e-04  8.485027e-05  2.169589e-03 -4.166805e-04  1.744426e-04 -1.511119e-03 -6.531917e+03  3.378079e+00  1.197474e+05 -1.238491e+01 -4.512581e+00 -3.923928e+01
   235  2.010402e+00  3.541239e-01 -2.491241e-04  1.646819e-04  2.057631e-03 -4.166807e-04  1.694361e-04 -1.483151e-03 -1.268230e+04  3.378079e+00  1.135681e+05 -1.252619e+01 -4.720540e+00 -3.851302e+01
   236  2.022062e+00  4.245127e-01 -3.699175e-04  2.445135e-04  2.168782e-03 -4.166807e-04  1.644295e-04 -1.425133e-03 -1.883268e+04  3.378079e+00  1.197029e+05 -1.266748e+01 -4.928499e+00 -3.700646e+01
   237  2.033722e+00  4.949014e-01 -4.907110e-04  3.243451e-04  2.056436e-03 -4.166807e-04  1.594229e-04 -1.305957e-03 -2.498306e+04  3.378079e+00  1.135021e+05 -1.280876e+01 -5.136458e+00 -3.391181e+01
   238  2.045383e+00  5.652902e-01 -6.115044e-04  4.041767e-04  2.167199e-03 -4.166804e-04  1.544161e-04 -1.062058e-03 -3.113344e+04  3.378079e+00  1.196155e+05 -1.295004e+01 -5.344417e+00 -2.757849e+01
   239  2.057043e+00  6.356789e-01 -7.322979e-04  4.840083e-04  2.054466e-03 -4.166807e-04  1.494096e-04 -5.636739e-04 -3.728382e+04  3.378079e+00  1.133934e+05 -1.309133e+01 -5.552376e+00 -1.463694e+01
   240  2.068704e+00  7.060677e-01 -8.530913e-04  5.638399e-04  2.164842e-03 -4.166807e-04  1.444029e-04  4.540425e-04 -4.343420e+04  3.378079e+00  1.194854e+05 -1.323261e+01 -5.760335e+00  1.179013e+01
   241  2.080364e+00  7.764564e-01 -9.738848e-04  6.436715e-04  2.051721e-03 -4.166805e-04  1.393962e-04  2.531615e-03 -4.958458e+04  3.378079e+00  1.132419e+05 -1.337389e+01 -5.968294e+00  6.573851e+01
   242 -1.025237e+00 -1.139680e+00  1.939675e-03 -1.282305e-03  2.870313e-03 -4.144174e-04  2.725702e-04 -1.822712e-03  9.873843e+04 -3.488813e+01  1.584229e+05 -9.521832e+00 -3.728231e-01 -4.733040e+01
   243 -1.013406e+00 -1.067668e+00  1.816083e-03 -1.200623e-03  2.871356e-03 -4.144171e-04  2.688305e-04 -1.615171e-03  9.244555e+04 -3.488813e+01  1.584805e+05 -9.627354e+00 -5.281526e-01 -4.194118e+01
   244 -1.001576e+00 -9.956566e-01  1.692491e-03 -1.118942e-03  2.876269e-03 -4.144174e-04  2.650911e-04 -1.515682e-03  8.615266e+04 -3.488813e+01  1.587516e+05 -9.732886e+00 -6.834821e-01 -3.935777e+01
   245 -9.897457e-01 -9.236447e-01  1.568898e-03 -1.037261e-03  2.876907e-03 -4.144174e-04  2.613515e-04 -1.468236e-03  7.985978e+04 -3.488813e+01  1.587869e+05 -9.838415e+00 -8.388118e-01 -3.812573e+01
   246 -9.779153e-01 -8.516328e-01  1.445306e-03 -9.555794e-04  2.881414e-03 -4.144171e-04  2.576118e-04 -1.445853e-03  7.356690e+04 -3.488813e+01  1.590356e+05 -9.943936e+00 -9.941413e-01 -3.754450e+01
   247 -9.660850e-01 -7.796209e-01  1.321714e-03 -8.738981e-04  2.881646e-03 -4.144174e-04  2.538724e-04 -1.435535e-03  6.727401e+04 -3.488813e+01  1.590484e+05 -1.004947e+01 -1.149471e+00 -3.727656e+01
   248 -9.542546e-01 -7.076090e-01  1.198122e-03 -7.922169e-04  2.885747e-03 -4.144174e-04  2.501328e-04 -1.431021e-03  6.098113e+04 -3.488813e+01  1.592748e+05 -1.015500e+01 -1.304801e+00 -3.715935e+01
   249 -9.424243e-01 -6.355971e-01  1.074530e-03 -7.105356e-04  2.885574e-03 -4.144171e-04  2.463930e-04 -1.429297e-03  5.468825e+04 -3.488813e+01  1.592652e+05 -1.026052e+01 -1.460130e+00 -3.711460e+01
   250 -9.305939e-01 -5.635852e-01  9.509375e-04 -6.288543e-04  2.889269e-03 -4.144174e-04  2.426536e-04 -1.428912e-03  4.839536e+04 -3.488813e+01  1.594692e+05 -1.036605e+01 -1.615460e+00 -3.710460e+01
   251 -9.187635e-01 -4.915733e-01  8.273453e-04 -5.471730e-04  2.888691e-03 -4.144174e-04  2.389140e-04 -1.429164e-03  4.210248e+04 -3.488813e+01  1.594372e+05 -1.047158e+01 -1.770789e+00 -3.711113e+01
   252 -9.069332e-01 -4.195614e-01  7.037531e-04 -4.654918e-04  2.891980e-03 -4.144172e-04  2.351743e-04 -1.429715e-03  3.580960e+04 -3.488813e+01  1.596188e+05 -1.057710e+01 -1.926119e+00 -3.712546e+01
   253 -8.951028e-01 -3.475495e-01  5.801609e-04 -3.838105e-04  2.890996e-03 -4.144174e-04  2.314349e-04 -1.430404e-03  2.951671e+04 -3.488813e+01  1.595645e+05 -1.068263e+01 -2.081448e+00 -3.714334e+01
   254 -8.832725e-01 -2.755376e-01  4.565687e-04 -3.021292e-04  2.893880e-03 -4.144174e-04  2.276953e-04 -1.431151e-03  2.322383e+04 -3.488813e+01  1.597236e+05 -1.078816e+01 -2.236778e+00 -3.716275e+01
   255 -8.714421e-01 -2.035257e-01  3.329765e-04 -2.204479e-04  2.892489e-03 -4.144174e-04  2.239557e-04 -1.431921e-03  1.693095e+04 -3.488813e+01  1.596469e+05 -1.089369e+01 -2.392108e+00 -3.718273e+01
   256 -8.596118e-01 -1.315138e-01  2.093843e-04 -1.387667e-04  2.894967e-03 -4.144171e-04  2.202160e-04 -1.432694e-03  1.063806e+04 -3.488813e+01  1.597837e+05 -1.099921e+01 -2.547437e+00 -3.720280e+01
   257 -8.477814e-01 -5.950190e-02  8.579215e-05 -5.708539e-05  2.893171e-03 -4.144174e-04  2.164766e-04 -1.433460e-03  4.345180e+03 -3.488813e+01  1.596846e+05 -1.110474e+01 -2.702767e+00 -3.722269e+01
   258 -8.359511e-01  1.250999e-02 -3.780003e-05  2.459588e-05  2.895244e-03 -4.144174e-04  2.127370e-04 -1.434213e-03 -1.947703e+03 -3.488813e+01  1.597989e+05 -1.121027e+01 -2.858096e+00 -3.724225e+01
   259 -8.241207e-01  8.452189e-02 -1.613922e-04  1.062771e-04  2.893042e-03 -4.144171e-04  2.089973e-04 -1.434953e-03 -8.240586e+03 -3.488813e+01  1.596774e+05 -1.131579e+01 -3.013426e+00 -3.726145e+01
   260 -8.122903e-01  1.565338e-01 -2.849844e-04  1.879584e-04  2.894709e-03 -4.144174e-04  2.052579e-04 -1.435672e-03 -1.453347e+04 -3.488813e+01  1.597694e+05 -1.142133e+01 -3.168755e+00 -3.728015e+01
   261 -8.004600e-01  2.285457e-01 -4.085766e-04  2.696397e-04  2.892102e-03 -4.144174e-04  2.015183e-04 -1.436362e-03 -2.082635e+04 -3.488813e+01  1.596255e+05 -1.152685e+01 -3.324085e+00 -3.729806e+01
   262 -7.886296e-01  3.005576e-01 -5.321688e-04  3.513210e-04  2.893363e-03 -4.144171e-04  1.977785e-04 -1.437003e-03 -2.711924e+04 -3.488813e+01  1.596951e+05 -1.163238e+01 -3.479415e+00 -3.731470e+01
   263 -7.767993e-01  3.725695e-01 -6.557610e-04  4.330023e-04  2.890350e-03 -4.144174e-04  1.940391e-04 -1.437556e-03 -3.341212e+04 -3.488813e+01  1.595288e+05 -1.173791e+01 -3.634744e+00 -3.732907e+01
   264 -7.649689e-01  4.445814e-01 -7.793532e-04  5.146835e-04  2.891205e-03 -4.144174e-04  1.902995e-04 -1.437942e-03 -3.970500e+04 -3.488813e+01  1.595760e+05 -1.184344e+01 -3.790074e+00 -3.733908e+01
   265 -7.531386e-01  5.165933e-01 -9.029454e-04  5.963648e-04  2.887787e-03 -4.144174e-04  1.865600e-04 -1.437995e-03 -4.599789e+04 -3.488813e+01  1.593873e+05 -1.194896e+01 -3.945404e+00 -3.734046e+01
   266 -7.413082e-01  5.886052e-01 -1.026538e-03  6.780461e-04  2.888236e-03 -4.144171e-04  1.828202e-04 -1.437373e-03 -5.229077e+04 -3.488813e+01  1.594122e+05 -1.205449e+01 -4.100733e+00 -3.732430e+01
   267 -7.294778e-01  6.606171e-01 -1.150130e-03  7.597273e-04  2.884412e-03 -4.144174e-04  1.790808e-04 -1.435360e-03 -5.858365e+04 -3.488813e+01  1.592011e+05 -1.216002e+01 -4.256063e+00 -3.727204e+01
   268 -7.176475e-01  7.326290e-01 -1.273722e-03  8.414086e-04  2.884456e-03 -4.144174e-04  1.753412e-04 -1.430477e-03 -6.487654e+04 -3.488813e+01  1.592035e+05 -1.226555e+01 -4.411392e+00 -3.714525e+01
   269 -7.058171e-01  8.046409e-01 -1.397314e-03  9.230899e-04  2.880226e-03 -4.144171e-04  1.716015e-04 -1.419653e-03 -7.116942e+04 -3.488813e+01  1.589700e+05 -1.237107e+01 -4.566722e+00 -3.686417e+01
   270 -6.939868e-01  8.766528e-01 -1.520906e-03  1.004771e-03  2.879864e-03 -4.144174e-04  1.678621e-04 -1.396508e-03 -7.746230e+04 -3.488813e+01  1.589501e+05 -1.247660e+01 -4.722051e+00 -3.626316e+01
   271 -6.821564e-01  9.486647e-01 -1.644498e-03  1.086452e-03  2.875228e-03 -4.144174e-04  1.641225e-04 -1.347796e-03 -8.375519e+04 -3.488813e+01  1.586942e+05 -1.258213e+01 -4.877381e+00 -3.499826e+01
   272 -6.703261e-01  1.020677e+00 -1.768091e-03  1.168134e-03  2.874461e-03 -4.144171e-04  1.603828e-04 -1.246026e-03 -9.004807e+04 -3.488813e+01  1.586518e+05 -1.268765e+01 -5.032711e+00 -3.235559e+01
   273 -6.584957e-01  1.092688e+00 -1.891683e-03  1.249815e-03  2.869419e-03 -4.144174e-04  1.566434e-04 -1.034122e-03 -9.634095e+04 -3.488813e+01  1.583736e+05 -1.279318e+01 -5.188040e+00 -2.685309e+01
   274 -6.466653e-01  1.164700e+00 -2.015275e-03  1.331496e-03  2.868246e-03 -4.144174e-04  1.529038e-04 -5.936038e-04 -1.026338e+05 -3.488813e+01  1.583088e+05 -1.289871e+01 -5.343370e+00 -1.541413e+01
   275 -6.348350e-01  1.236712e+00 -2.138867e-03  1.413178e-03  2.862799e-03 -4.144174e-04  1.491642e-04  3.214891e-04 -1.089267e+05 -3.488813e+01  1.580082e+05 -1.300424e+01 -5.498699e+00  8.348116e+00
   276 -2.394256e-01 -1.180501e+00  2.116240e-03 -1.398354e-03  3.876670e-03 -4.151716e-04  1.491582e-04  1.597495e-04  1.077668e+05  2.304614e+01  2.139674e+05 -1.303574e+01 -5.520231e+00  4.148221e+00
   277 -2.276043e-01 -1.108744e+00  1.993090e-03 -1.316965e-03  3.876867e-03 -4.151716e-04  1.532054e-04 -6.706812e-04  1.014964e+05  2.304614e+01  2.139782e+05 -1.292153e+01 -5.352126e+00 -1.741560e+01
   278 -2.157830e-01 -1.036987e+00  1.869939e-03 -1.235576e-03  3.883186e-03 -4.151714e-04  1.572524e-04 -1.072061e-03  9.522603e+04  2.304614e+01  2.143270e+05 -1.280732e+01 -5.184020e+00 -2.783824e+01
   279 -2.039617e-01 -9.652296e-01  1.746789e-03 -1.154187e-03  3.882980e-03 -4.151716e-04  1.612997e-04 -1.266220e-03  8.895564e+04  2.304614e+01  2.143156e+05 -1.269311e+01 -5.015915e+00 -3.287998e+01
   280 -1.921404e-01 -8.934726e-01  1.623639e-03 -1.072797e-03  3.888896e-03 -4.151716e-04  1.653469e-04 -1.360302e-03  8.268526e+04  2.304614e+01  2.146422e+05 -1.257891e+01 -4.847809e+00 -3.532300e+01
   281 -1.803191e-01 -8.217156e-01  1.500489e-03 -9.914082e-04  3.888287e-03 -4.151716e-04  1.693940e-04 -1.406055e-03  7.641487e+04  2.304614e+01  2.146086e+05 -1.246470e+01 -4.679704e+00 -3.651108e+01
   282 -1.684978e-01 -7.499586e-01  1.377338e-03 -9.100189e-04  3.893801e-03 -4.151716e-04  1.734412e-04 -1.428474e-03  7.014449e+04  2.304614e+01  2.149129e+05 -1.235049e+01 -4.511598e+00 -3.709323e+01
   283 -1.566765e-01 -6.782015e-01  1.254188e-03 -8.286297e-04  3.892789e-03 -4.151716e-04  1.774883e-04 -1.439631e-03  6.387411e+04  2.304614e+01  2.148570e+05 -1.223629e+01 -4.343493e+00 -3.738293e+01
   284 -1.448552e-01 -6.064445e-01  1.131038e-03 -7.472404e-04  3.897899e-03 -4.151714e-04  1.815353e-04 -1.445356e-03  5.760372e+04  2.304614e+01  2.151391e+05 -1.212207e+01 -4.175387e+00 -3.753159e+01
   285 -1.330339e-01 -5.346875e-01  1.007887e-03 -6.658512e-04  3.896485e-03 -4.151716e-04  1.855827e-04 -1.448463e-03  5.133334e+04  2.304614e+01  2.150610e+05 -1.200787e+01 -4.007282e+00 -3.761227e+01
   286 -1.212126e-01 -4.629305e-01  8.847369e-04 -5.844620e-04  3.901193e-03 -4.151716e-04  1.896298e-04 -1.450313e-03  4.506295e+04  2.304614e+01  2.153209e+05 -1.189366e+01 -3.839176e+00 -3.766031e+01
   287 -1.093912e-01 -3.911735e-01  7.615866e-04 -5.030727e-04  3.899375e-03 -4.151716e-04  1.936770e-04 -1.451564e-03  3.879257e+04  2.304614e+01  2.152205e+05 -1.177946e+01 -3.671071e+00 -3.769279e+01
   288 -9.756993e-02 -3.194165e-01  6.384363e-04 -4.216835e-04  3.903680e-03 -4.151716e-04  1.977241e-04 -1.452532e-03  3.252218e+04  2.304614e+01  2.154582e+05 -1.166525e+01 -3.502965e+00 -3.771794e+01
   289 -8.574863e-02 -2.476595e-01  5.152860e-04 -3.402942e-04  3.901460e-03 -4.151714e-04  2.017711e-04 -1.453373e-03  2.625180e+04  2.304614e+01  2.153356e+05 -1.155104e+01 -3.334860e+00 -3.773977e+01
   290 -7.392733e-02 -1.759025e-01  3.921356e-04 -2.589050e-04  3.905362e-03 -4.151716e-04  2.058184e-04 -1.454160e-03  1.998141e+04  2.304614e+01  2.155510e+05 -1.143684e+01 -3.166755e+00 -3.776021e+01
   291 -6.210602e-02 -1.041455e-01  2.689853e-04 -1.775157e-04  3.902739e-03 -4.151716e-04  2.098656e-04 -1.454927e-03  1.371103e+04  2.304614e+01  2.154062e+05 -1.132263e+01 -2.998649e+00 -3.778013e+01
   292 -5.028470e-02 -3.238846e-02  1.458350e-04 -9.612648e-05  3.906238e-03 -4.151716e-04  2.139128e-04 -1.455692e-03  7.440641e+03  2.304614e+01  2.155993e+05 -1.120842e+01 -2.830544e+00 -3.779998e+01
   293 -3.846339e-02  3.936855e-02  2.268469e-05 -1.473723e-05  3.903212e-03 -4.151716e-04  2.179599e-04 -1.456462e-03  1.170256e+03  2.304614e+01  2.154323e+05 -1.109421e+01 -2.662438e+00 -3.781998e+01
   294 -2.664208e-02  1.111256e-01 -1.004656e-04  6.665201e-05  3.906308e-03 -4.151716e-04  2.220071e-04 -1.457241e-03 -5.100129e+03  2.304614e+01  2.156032e+05 -1.098001e+01 -2.494333e+00 -3.784021e+01
   295 -1.482078e-02  1.828826e-01 -2.236160e-04  1.480413e-04  3.902879e-03 -4.151714e-04  2.260541e-04 -1.458030e-03 -1.137051e+04  2.304614e+01  2.154140e+05 -1.086579e+01 -2.326227e+00 -3.786072e+01
   296 -2.999475e-03  2.546396e-01 -3.467663e-04  2.294305e-04  3.905573e-03 -4.151716e-04  2.301014e-04 -1.458829e-03 -1.764090e+04  2.304614e+01  2.155626e+05 -1.075159e+01 -2.158122e+00 -3.788144e+01
   297  8.821835e-03  3.263966e-01 -4.699166e-04  3.108197e-04  3.901741e-03 -4.151716e-04  2.341486e-04 -1.459628e-03 -2.391128e+04  2.304614e+01  2.153511e+05 -1.063739e+01 -1.990016e+00 -3.790219e+01
   298  2.064315e-02  3.981536e-01 -5.930669e-04  3.922090e-04  3.904032e-03 -4.151716e-04  2.381957e-04 -1.460415e-03 -3.018167e+04  2.304614e+01  2.154776e+05 -1.052318e+01 -1.821911e+00 -3.792263e+01
   299  3.246445e-02  4.699106e-01 -7.162172e-04  4.735982e-04  3.899797e-03 -4.151716e-04  2.422429e-04 -1.461163e-03 -3.645205e+04  2.304614e+01  2.152439e+05 -1.040897e+01 -1.653805e+00 -3.794207e+01
   300  4.428576e-02  5.416676e-01 -8.393675e-04  5.549875e-04  3.901685e-03 -4.151716e-04  2.462900e-04 -1.461817e-03 -4.272244e+04  2.304614e+01  2.153481e+05 -1.029476e+01 -1.485700e+00 -3.795904e+01
   301  5.610707e-02  6.134246e-01 -9.625178e-04  6.363767e-04  3.897048e-03 -4.151714e-04  2.503370e-04 -1.462260e-03 -4.899282e+04  2.304614e+01  2.150921e+05 -1.018055e+01 -1.317594e+00 -3.797054e+01
   302  6.792837e-02  6.851816e-01 -1.085668e-03  7.177660e-04  3.898533e-03 -4.151716e-04  2.543843e-04 -1.462250e-03 -5.526321e+04  2.304614e+01  2.151741e+05 -1.006635e+01 -1.149489e+00 -3.797029e+01
   303  7.974969e-02  7.569386e-01 -1.208818e-03  7.991552e-04  3.893493e-03 -4.151716e-04  2.584315e-04 -1.461287e-03 -6.153359e+04  2.304614e+01  2.148959e+05 -9.952143e+00 -9.813834e-01 -3.794527e+01
   304  9.157100e-02  8.286957e-01 -1.331969e-03  8.805445e-04  3.894575e-03 -4.151716e-04  2.624787e-04 -1.458333e-03 -6.780398e+04  2.304614e+01  2.149556e+05 -9.837936e+00 -8.132779e-01 -3.786858e+01
   305  1.033923e-01  9.004527e-01 -1.455119e-03  9.619337e-04  3.889132e-03 -4.151716e-04  2.665258e-04 -1.451244e-03 -7.407436e+04  2.304614e+01  2.146552e+05 -9.723729e+00 -6.451724e-01 -3.768450e+01
   306  1.152136e-01  9.722097e-01 -1.578269e-03  1.043323e-03  3.889811e-03 -4.151714e-04  2.705728e-04 -1.435578e-03 -8.034475e+04  2.304614e+01  2.146927e+05 -9.609516e+00 -4.770670e-01 -3.727770e+01
   307  1.270349e-01  1.043967e+00 -1.701420e-03  1.124712e-03  3.883965e-03 -4.151716e-04  2.746201e-04 -1.402137e-03 -8.661513e+04  2.304614e+01  2.143700e+05 -9.495314e+00 -3.089616e-01 -3.640933e+01
   308  1.388562e-01  1.115724e+00 -1.824570e-03  1.206101e-03  3.884242e-03 -4.151716e-04  2.786673e-04 -1.331878e-03 -9.288552e+04  2.304614e+01  2.143853e+05 -9.381107e+00 -1.408561e-01 -3.458492e+01
   309  1.506775e-01  1.187481e+00 -1.947720e-03  1.287491e-03  3.877993e-03 -4.151716e-04  2.827144e-04 -1.185378e-03 -9.915590e+04  2.304614e+01  2.140404e+05 -9.266900e+00  2.724938e-02 -3.078075e+01
