# per-element PLATE REACTION FORCES from the RM shell beam model (Timo), eta=0.20
# elem  y2(m) y3(m)  e11 e22 2e12 k11 k22 2k12  N11 N22 N12(N/m) M11 M22 M12(N)
    35  2.192390e+00  7.830699e-01 -9.703260e-04  4.643772e-04  1.572218e-03  1.641535e-03 -7.317064e-04 -2.299645e-03 -1.762553e+05 -1.203413e+01  8.494647e+04  4.105187e+02 -1.165332e+00 -1.791595e+02
    36  2.121610e+00  8.021893e-01 -1.013074e-03  4.848473e-04  1.515088e-03  1.644768e-03 -7.297135e-04 -2.915608e-03 -1.840185e+05 -1.203260e+01  8.186818e+04  4.122932e+02 -1.144995e+00 -2.214075e+02
    37  2.051231e+00  8.209831e-01 -1.055203e-03  5.049881e-04  3.691424e-03  1.644892e-03 -7.646383e-04 -1.132220e-04 -1.916707e+05 -1.460757e+01  1.993831e+05  4.102845e+02 -7.326391e+00 -5.219780e+01
    38  1.981328e+00  8.396384e-01 -1.097027e-03  5.250153e-04  3.677463e-03  1.644945e-03 -7.627814e-04 -7.039670e-04 -1.992659e+05 -1.460787e+01  1.986362e+05  4.111571e+02 -7.567290e+00 -9.320615e+01
    39  1.911470e+00  8.581791e-01 -1.138645e-03  5.449440e-04  3.678265e-03  1.646473e-03 -7.616524e-04 -1.021013e-03 -2.068239e+05 -1.461666e+01  1.986833e+05  4.123748e+02 -7.806499e+00 -1.153144e+02
    40  1.841563e+00  8.764395e-01 -1.179783e-03  5.646422e-04  3.663918e-03  1.649426e-03 -7.612326e-04 -1.213411e-03 -2.142946e+05 -1.463352e+01  1.979107e+05  4.139205e+02 -8.041484e+00 -1.285527e+02
    41  1.771537e+00  8.945335e-01 -1.220648e-03  5.842101e-04  3.664018e-03  1.649479e-03 -7.594011e-04 -1.333673e-03 -2.217156e+05 -1.463383e+01  1.979175e+05  4.147749e+02 -8.273913e+00 -1.369363e+02
    42  1.701519e+00  9.126147e-01 -1.261489e-03  6.037667e-04  3.649379e-03  1.649593e-03 -7.575994e-04 -1.393392e-03 -2.291324e+05 -1.463447e+01  1.971276e+05  4.156430e+02 -8.506153e+00 -1.409232e+02
    43  1.631534e+00  9.304502e-01 -1.301898e-03  6.231163e-04  3.649252e-03  1.653037e-03 -7.574393e-04 -1.413838e-03 -2.364709e+05 -1.465396e+01  1.971210e+05  4.172911e+02 -8.734734e+00 -1.423467e+02
    44  1.561440e+00  9.479434e-01 -1.341728e-03  6.421881e-04  3.633841e-03  1.655117e-03 -7.566265e-04 -1.436779e-03 -2.437040e+05 -1.466562e+01  1.962889e+05  4.186053e+02 -8.958129e+00 -1.437608e+02
    45  1.491222e+00  9.653176e-01 -1.381367e-03  6.611691e-04  3.633176e-03  1.655251e-03 -7.548654e-04 -1.454605e-03 -2.509024e+05 -1.466637e+01  1.962531e+05  4.194552e+02 -9.179675e+00 -1.449953e+02
    46  1.421068e+00  9.826548e-01 -1.420933e-03  6.801152e-04  3.617432e-03  1.655430e-03 -7.531299e-04 -1.456273e-03 -2.580877e+05 -1.466737e+01  1.954028e+05  4.203148e+02 -9.400703e+00 -1.449226e+02
    47  1.350931e+00  9.995663e-01 -1.459757e-03  6.987050e-04  3.616739e-03  1.661361e-03 -7.542270e-04 -1.447746e-03 -2.651382e+05 -1.470016e+01  1.953653e+05  4.225208e+02 -9.615364e+00 -1.443199e+02
    48  1.280598e+00  1.016056e+00 -1.497875e-03  7.169575e-04  3.599792e-03  1.662198e-03 -7.528509e-04 -1.447163e-03 -2.720605e+05 -1.470474e+01  1.944499e+05  4.235084e+02 -9.823610e+00 -1.440759e+02
    49  1.210166e+00  1.032505e+00 -1.535933e-03  7.351817e-04  3.598903e-03  1.662284e-03 -7.511077e-04 -1.433110e-03 -2.789719e+05 -1.470520e+01  1.944017e+05  4.243170e+02 -1.003118e+01 -1.430857e+02
    50  1.139843e+00  1.048794e+00 -1.573701e-03  7.532664e-04  3.581682e-03  1.664086e-03 -7.502126e-04 -1.422045e-03 -2.858306e+05 -1.471499e+01  1.934714e+05  4.255259e+02 -1.023642e+01 -1.421078e+02
    51  1.069479e+00  1.064483e+00 -1.610429e-03  7.708524e-04  3.580632e-03  1.670731e-03 -7.517144e-04 -1.414706e-03 -2.925005e+05 -1.475050e+01  1.934146e+05  4.278612e+02 -1.043265e+01 -1.415836e+02
    52  9.988623e-01  1.079736e+00 -1.646435e-03  7.880940e-04  3.562161e-03  1.670849e-03 -7.500412e-04 -1.400421e-03 -2.990393e+05 -1.475112e+01  1.924168e+05  4.286383e+02 -1.062222e+01 -1.403662e+02
    53  9.282166e-01  1.094975e+00 -1.682420e-03  8.053254e-04  3.561117e-03  1.671008e-03 -7.483883e-04 -1.351569e-03 -3.055742e+05 -1.475196e+01  1.923598e+05  4.294247e+02 -1.081157e+01 -1.369487e+02
    54  8.576791e-01  1.109798e+00 -1.717666e-03  8.222020e-04  3.542570e-03  1.676080e-03 -7.491593e-04 -1.333236e-03 -3.119750e+05 -1.477831e+01  1.913579e+05  4.313593e+02 -1.099473e+01 -1.354482e+02
    55  7.869912e-01  1.123901e+00 -1.751682e-03  8.384896e-04  3.540791e-03  1.680794e-03 -7.497872e-04 -1.336221e-03 -3.181524e+05 -1.480219e+01  1.912618e+05  4.331857e+02 -1.116704e+01 -1.356349e+02
    56  7.160571e-01  1.137670e+00 -1.785151e-03  8.545163e-04  3.521514e-03  1.680983e-03 -7.482144e-04 -1.306380e-03 -3.242304e+05 -1.480313e+01  1.902203e+05  4.339310e+02 -1.133422e+01 -1.333236e+02
    57  6.452019e-01  1.151346e+00 -1.818447e-03  8.704599e-04  3.519718e-03  1.681778e-03 -7.469440e-04 -1.216951e-03 -3.302770e+05 -1.480710e+01  1.901222e+05  4.348167e+02 -1.150005e+01 -1.270686e+02
    58  5.744171e-01  1.164266e+00 -1.850418e-03  8.857681e-04  3.500542e-03  1.690026e-03 -7.493549e-04 -1.178519e-03 -3.360832e+05 -1.484696e+01  1.890860e+05  4.374401e+02 -1.165458e+01 -1.241598e+02
    59  5.033409e-01  1.176380e+00 -1.881029e-03  9.004256e-04  3.497413e-03  1.692081e-03 -7.487718e-04 -1.165314e-03 -3.416421e+05 -1.485652e+01  1.889168e+05  4.385725e+02 -1.179690e+01 -1.232018e+02
    60  4.321076e-01  1.188328e+00 -1.911371e-03  9.149551e-04  3.478165e-03  1.692267e-03 -7.472801e-04 -1.059851e-03 -3.471524e+05 -1.485737e+01  1.878759e+05  4.392576e+02 -1.193664e+01 -1.156198e+02
    61  3.610397e-01  1.199872e+00 -1.940990e-03  9.291376e-04  3.475161e-03  1.696329e-03 -7.477058e-04 -8.241318e-04 -3.525313e+05 -1.487572e+01  1.877109e+05  4.408459e+02 -1.207044e+01 -9.915373e+01
    62  2.897331e-01  1.209082e+00 -1.966583e-03  9.413898e-04  3.456269e-03  1.715979e-03 -7.558613e-04 -7.865608e-04 -3.571793e+05 -1.495153e+01  1.866900e+05  4.460453e+02 -1.216914e+01 -9.630822e+01
    63  2.052442e-01  1.218034e+00 -1.993500e-03  6.731696e-04  4.139182e-04  1.713413e-03 -6.503744e-04 -1.213296e-03 -2.296608e+07 -1.494322e+01  1.593008e+05  5.578046e+03 -1.225675e+01 -3.023837e+02
    64  1.211280e-01  1.227930e+00 -2.022007e-03  6.827982e-04  8.457730e-04  1.706906e-03 -6.491338e-04 -1.381563e-03 -2.329458e+07 -1.341778e+01  3.255785e+05  5.455334e+03 -1.307377e+01 -3.191188e+02
    65  5.004859e-02  1.236196e+00 -2.045927e-03  6.908756e-04  7.390588e-04  1.715213e-03 -6.549639e-04 -1.332395e-03 -2.357019e+07 -1.402197e+01  2.844907e+05  5.441762e+03 -1.481360e+01 -3.129180e+02
    66 -2.144540e-02  1.243525e+00 -2.068277e-03  6.984230e-04  6.314257e-04  1.715948e-03 -6.579617e-04 -1.454726e-03 -2.382772e+07 -1.407900e+01  2.430375e+05  5.383214e+03 -1.654740e+01 -3.534585e+02
    67 -9.294126e-02  1.250694e+00 -2.090348e-03  7.058766e-04  5.221181e-04  1.716589e-03 -6.609213e-04 -1.484190e-03 -2.408204e+07 -1.412925e+01  2.009458e+05  5.324831e+03 -1.827862e+01 -3.688348e+02
    68 -1.641529e-01  1.256812e+00 -2.110552e-03  7.126990e-04  4.131252e-04  1.724066e-03 -6.664071e-04 -1.443484e-03 -2.431483e+07 -1.476123e+01  1.589799e+05  5.316281e+03 -1.998612e+01 -3.650909e+02
    69 -2.356449e-01  1.261564e+00 -2.128421e-03  7.187332e-04  3.014361e-04  1.727081e-03 -6.702105e-04 -1.410862e-03 -2.452072e+07 -1.504655e+01  1.159754e+05  5.285185e+03 -2.167751e+01 -3.637286e+02
    70 -3.073646e-01  1.265871e+00 -2.145547e-03  7.245168e-04  1.900705e-04  1.727259e-03 -6.729537e-04 -1.393130e-03 -2.471806e+07 -1.506411e+01  7.309435e+04  5.237673e+03 -2.336673e+01 -3.663972e+02
    71 -3.787675e-01  1.269423e+00 -2.161317e-03  7.298419e-04  7.724065e-05  1.731646e-03 -6.772453e-04 -1.457681e-03 -2.489976e+07 -1.552875e+01  2.964401e+04  5.221426e+03 -2.503638e+01 -3.915607e+02
    72 -4.501726e-01  1.271360e+00 -2.174281e-03  7.342197e-04 -3.515286e-05  1.736202e-03 -6.815707e-04 -1.517641e-03 -2.504914e+07 -1.610594e+01 -1.363802e+04  5.214155e+03 -2.667955e+01 -4.154453e+02
    73 -5.219125e-01  1.272379e+00 -2.185692e-03  7.380735e-04 -1.503243e-04  1.736338e-03 -6.842399e-04 -1.504141e-03 -2.518063e+07 -1.612554e+01 -5.798477e+04  5.182425e+03 -2.831516e+01 -4.195222e+02
    74 -5.933760e-01  1.272796e+00 -2.196021e-03  7.415614e-04 -2.633241e-04  1.738641e-03 -6.876980e-04 -1.496207e-03 -2.529964e+07 -1.648677e+01 -1.014957e+05  5.167864e+03 -2.993465e+01 -4.249678e+02
    75 -6.762313e-01  1.272257e+00 -2.206219e-03  7.450108e-04  1.172620e-05  1.739581e-03 -6.974787e-04 -1.176463e-03 -2.541715e+07 -1.276253e+01  4.436087e+03  5.143221e+03 -3.572839e+01 -3.194266e+02
    76 -7.595246e-01  1.271664e+00 -2.216382e-03  1.060977e-03 -4.479423e-04  1.738831e-03 -8.863531e-04 -1.664874e-03 -4.025443e+05 -1.283768e+01 -2.417435e+04  4.462731e+02 -3.470409e+01 -1.106681e+02
    77 -8.311219e-01  1.268980e+00 -2.221339e-03  1.063359e-03 -4.821155e-04  1.743512e-03 -8.826183e-04 -1.644725e-03 -4.034440e+05 -1.197670e+01 -2.602036e+04  4.479411e+02 -3.379561e+01 -1.088536e+02
    78 -9.025663e-01  1.262847e+00 -2.220280e-03  1.062857e-03 -4.751995e-04  1.743101e-03 -8.766157e-04 -1.576361e-03 -4.032514e+05 -1.160480e+01 -2.564763e+04  4.482841e+02 -3.284457e+01 -1.041714e+02
