GP_Index	Coord_X	Coord_Y	Eps_xx	Eps_yy	Eps_zz	Eps_yz	Eps_xz	Eps_xy	Sig_xx	Sig_yy	Sig_zz	Sig_yz	Sig_xz	Sig_xy
41	1.608242e+01	2.323750e+01	2.333750e-01	-1.827910e-01	-1.428155e-02	5.467920e-03	-4.670789e-03	-2.880330e-03	3.294646e+03	-3.468165e+01	3.849432e+01	2.147311e+01	-1.908172e+01	-1.356821e+03
42	1.608242e+01	2.306875e+01	2.316875e-01	-1.827910e-01	-1.428155e-02	5.467920e-03	-4.670789e-03	-2.880330e-03	3.234408e+03	-8.141966e+01	3.300818e+01	2.147311e+01	-1.908172e+01	-1.314012e+03
43	1.579077e+01	2.329375e+01	2.339375e-01	-2.079600e-01	-1.302748e-02	1.900407e-02	-4.921308e-03	-3.343637e-03	2.633460e+03	-9.017195e+02	-3.009345e+01	6.897490e+01	-2.672661e+01	-7.461520e+02
44	1.566578e+01	2.312500e+01	2.322500e-01	-2.079600e-01	-1.302748e-02	1.900407e-02	-4.921308e-03	-3.343637e-03	2.573222e+03	-9.484575e+02	-3.557959e+01	6.897490e+01	-2.672661e+01	-7.033425e+02
45	1.566578e+01	2.329375e+01	2.339375e-01	-2.079600e-01	-1.302748e-02	1.900407e-02	-4.921308e-03	-3.343637e-03	2.633460e+03	-9.017195e+02	-3.009345e+01	6.897490e+01	-2.672661e+01	-7.461520e+02
46	1.570744e+01	2.306875e+01	2.316875e-01	-1.837194e-01	-1.351370e-02	1.705415e-03	-5.124402e-03	-3.069445e-03	3.215990e+03	-1.072646e+02	3.692968e+01	8.531153e+00	-1.878812e+01	-1.296122e+03
47	1.583244e+01	2.323750e+01	2.333750e-01	-1.837194e-01	-1.351370e-02	1.705415e-03	-5.124402e-03	-3.069445e-03	3.276228e+03	-6.052664e+01	4.241582e+01	8.531153e+00	-1.878812e+01	-1.338932e+03
48	1.583244e+01	2.306875e+01	2.316875e-01	-1.837194e-01	-1.351370e-02	1.705415e-03	-5.124402e-03	-3.069445e-03	3.215990e+03	-1.072646e+02	3.692968e+01	8.531153e+00	-1.878812e+01	-1.296122e+03
49	1.554078e+01	2.329375e+01	2.339375e-01	-2.096753e-01	-1.271777e-02	1.718419e-02	-4.444792e-03	-3.744891e-03	2.597139e+03	-9.517627e+02	-3.271245e+01	6.236705e+01	-2.414887e+01	-7.140072e+02
50	1.541579e+01	2.312500e+01	2.322500e-01	-2.096753e-01	-1.271777e-02	1.718419e-02	-4.444792e-03	-3.744891e-03	2.536901e+03	-9.985007e+02	-3.819859e+01	6.236705e+01	-2.414887e+01	-6.711977e+02
51	1.541579e+01	2.329375e+01	2.339375e-01	-2.096753e-01	-1.271777e-02	1.718419e-02	-4.444792e-03	-3.744891e-03	2.597139e+03	-9.517627e+02	-3.271245e+01	6.236705e+01	-2.414887e+01	-7.140072e+02
52	1.545746e+01	2.306875e+01	2.316875e-01	-1.844166e-01	-1.302748e-02	-1.106771e-03	-4.921308e-03	-3.101560e-03	3.199075e+03	-1.297570e+02	3.901465e+01	-1.413043e+00	-1.667119e+01	-1.279570e+03
